bookname,n,k,m,count1,count2,count3,user,sys,real
madame-bovary,112972,5,500000,1796279,3383650,201654,548.0,4.0,1182.0
madame-bovary,112972,6,1000,1796279,16856,1000,104.0,4.0,130.0
madame-bovary,112972,6,10000,1796279,168666,10006,124.0,4.0,161.0
madame-bovary,112972,6,100000,1796279,1686241,100102,324.0,8.0,702.0
madame-bovary,112972,6,500000,1796279,369236,22073,160.0,0.0,357.0
madame-bovary,112972,7,1000,1796279,16856,1000,108.0,0.0,126.0
madame-bovary,112972,7,10000,1796279,168693,10000,140.0,0.0,205.0
madame-bovary,112972,7,100000,1796279,1332485,79066,288.0,12.0,700.0
madame-bovary,112972,7,500000,1796279,2608850,154781,468.0,16.0,1210.0
zadig,26046,2,1000,349642,14752,3798,20.0,0.0,35.0
zadig,26046,2,10000,349642,147357,39975,32.0,4.0,100.0
zadig,26046,2,100000,349642,1227013,339679,156.0,8.0,328.0
zadig,26046,2,500000,349642,233089,63392,44.0,0.0,297.0
zadig,26046,3,1000,349639,14750,1144,20.0,4.0,139.0
zadig,26046,3,10000,349639,147402,11069,40.0,8.0,185.0
zadig,26046,3,100000,349639,266383,20104,44.0,0.0,55.0
zadig,26046,3,500000,349639,621350,46805,84.0,0.0,482.0
zadig,26046,4,1000,349638,14734,1013,20.0,0.0,34.0
zadig,26046,4,10000,349638,147413,10171,36.0,0.0,156.0
zadig,26046,4,100000,349638,64268,4430,28.0,0.0,41.0
zadig,26046,4,500000,349638,119584,8242,28.0,4.0,58.0
zadig,26046,5,1000,349638,14735,1001,20.0,0.0,32.0
zadig,26046,5,10000,349638,147413,10033,40.0,0.0,515.0
zadig,26046,5,100000,349638,363271,24777,64.0,0.0,158.0
zadig,26046,5,500000,349638,390245,26551,60.0,4.0,176.0
zadig,26046,6,1000,349638,14735,1000,24.0,0.0,831.0
zadig,26046,6,10000,349638,104587,7102,32.0,0.0,849.0
zadig,26046,6,100000,349638,84253,5719,36.0,0.0,97.0
zadig,26046,6,500000,349638,84253,5719,32.0,0.0,350.0
zadig,26046,7,1000,349638,14735,1000,20.0,0.0,30.0
zadig,26046,7,10000,349638,91016,6176,28.0,4.0,137.0
zadig,26046,7,100000,349638,926957,62934,136.0,12.0,327.0
zadig,26046,7,500000,349638,91016,6176,28.0,4.0,275.0
don-quixote,404461,2,1000,7024485,18702,63420,408.0,0.0,431.0
don-quixote,404461,2,10000,7024485,39267,164215,432.0,0.0,625.0
don-quixote,404461,2,100000,7024485,1871272,7339726,1156.0,44.0,2531.0
don-quixote,404461,2,500000,7024485,9356613,36517246,4224.0,132.0,13541.0
don-quixote,404461,3,1000,7024519,18717,3955,396.0,12.0,1389.0
don-quixote,404461,3,10000,7024519,187079,33652,444.0,28.0,857.0
don-quixote,404461,3,100000,7024519,1870290,342733,780.0,20.0,2048.0
don-quixote,404461,3,500000,7024519,3438040,618306,868.0,16.0,4588.0
don-quixote,404461,4,1000,7024518,18697,1342,380.0,20.0,740.0
don-quixote,404461,4,10000,7024518,187028,13745,452.0,16.0,836.0
don-quixote,404461,4,100000,7024518,1870122,129252,820.0,32.0,2867.0
don-quixote,404461,4,500000,7024518,611922,42905,560.0,12.0,1136.0
don-quixote,404461,5,1000,7024519,18698,1024,448.0,16.0,938.0
don-quixote,404461,5,10000,7024519,187083,10527,444.0,20.0,564.0
